District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP,Class
T,Rabakavi Banahatti,496,857,73,LE
D,VIJAYAPURA,591,760,29,E
T,BAGEVADI,669,710,6,N
T,Vijayapura,671,717,7,N
T,Indi,620,697,12,N
T,Muddebihal,652,794,22,E
T,Sindgi,658,702,7,N
T,Babaleshwara,545,770,41,E
T,Chadachana,552,907,64,LE
T,Nidagundi,616,766,24,E
T,Talikote,586,858,47,E
T,Tikota,406,728,79,LE
T,Kolhara,606,786,30,E
T,Devara Hipparagi,630,764,21,E
D,GADAG,624,995,60,E
T,Gadag,659,990,50,E
T,Mundargi,557,963,73,LE
T,Naragund,557,893,60,LE
T,Ron,699,950,36,E
T,Shirahatti,689,1159,68,LE
T,Gajendragad,737,920,25,E
T,Laxmeshwar,594,1126,90,LE
D,HAVERI,800,1023,28,E
T,Byadgi,679,966,42,E
T,Hanagal,1044,1185,14,N
T,Haveri,778,932,20,E
T,Hirekerur,856,1075,26,E
T,RANEBENNUR,623,1072,72,LE
T,Savanur,699,1044,49,E
T,Shiggaon,814,1004,23,E
T,Ratteehalli,790,921,17,N
D,DHARWAD,787,1051,34,E
T,Dharwad,777,1016,31,E
T,Hubballi,772,1117,45,E
T,Kalghatgi,979,1155,18,N
T,Kundgol,661,1093,65,LE
T,Navalgund,631,812,29,E
T,Hubballi Nagara,746,911,22,E
T,Alnavara,1267,1321,4,N
T,Annigeri,651,1016,56,E
D,SHIVAMOGGA,2325,2439,5,N
T,Bhadravathi,866,1345,55,E
T,HOSANAGARA,3071,3234,5,N
T,SAGARA,2495,3196,28,E
T,SHIKARIPURA,975,1356,39,E
T,Shivamogga,842,1507,79,LE
T,SORABA,1541,1909,24,E
T,Tirthahalli,2867,3153,10,N
D,HASSAN,1142,1701,49,E
T,Alur,1149,1483,29,E
T,ARKALGUD,885,1366,54,E
T,ARASIKERE,696,982,41,E
T,Belur,1021,1532,50,E
T,Channarayapatna,690,1342,95,LE
T,Hassan,846,1289,52,E
T,HOLENARASIPURA,768,1398,82,LE
T,SAKALESHPURA,2247,3522,57,E
D,CHIKKAMAGALURU,1833,2278,24,E
T,CHIKKAMAGALURU,836,2069,148,LE
T,Kadur,639,1056,65,LE
T,Koppa,2907,3510,21,E
T,Mudigere,2315,3616,56,E
T,NARASIMHARAJAPURA,1609,2376,48,E
T,Sringeri,3887,4735,22,E
T,Tarikere,914,1350,48,E
T,Ajjampura,669,1205,80,LE
D,KODAGU,2729,3036,11,N
T,Madikeri,3265,4214,29,E
T,Somwarpet,2098,2397,14,N
T,Virajpet,2468,2312,-6,N
D,DAKSHINA KANNADA,4006,4383,9,N
T,Beltangadi,4426,4643,5,N
T,Bantwal,3856,3904,1,N
T,Mangaluru,3609,3354,-7,N
T,Puttur,4058,3924,-3,N
T,Sulya,3592,4859,35,E
T,Mudabidri,4010,4608,15,N
T,Kadaba,4135,4747,15,N
D,UDUPI,4535,4672,3,N
T,Karkala,4777,4540,-5,N
T,Kundapur,3786,4526,20,E
T,Udupi,3862,4095,6,N
T,Bynduru,4428,5316,20,E
T,Bramhavara,4043,4155,3,N
T,Kapu,3757,3845,2,N
T,Hebri,5802,5765,-1,N
D,UTTARA KANNADA,2936,2981,2,N
T,Ankola,3532,3542,0,N
T,Bhatkal,4322,4608,7,N
T,Haliyal,1339,1593,19,N
T,Honnavar,3728,4096,10,N
T,Karwar,3234,3416,6,N
T,Kumta,3523,3783,7,N
T,Mundgod,1438,1651,15,N
T,SIDDAPUR,3016,3714,23,E
T,SIRSI,2360,3230,37,E
T,SUPA,2578,2723,6,N
T,YELLAPUR,2668,2313,-13,N
T,Dandelli,1540,1586,3,N
D,YADGIR,719,933,30,E
T,Shahapur,848,891,5,N
T,Shorapur,721,894,24,E
T,Yadgir,908,926,2,N
T,Gurumithakala,773,1011,31,E
T,Vadagera,617,958,55,E
T,Hunisigi,501,869,74,LE
D,VIJAYANAGAR,643,927,44,E
T,Hosapete,704,858,22,E
T,Hadagali,641,1018,59,E
T,HAGARIBOMMANAHALLI,635,852,34,E
T,HARAPPANAHALLI,755,1015,35,E
T,Kotturu,533,963,81,LE
T,Kampli,531,904,70,LE
,1.SIK,714,1246,75,LE
,2.NIK,702,915,30,E
,3.MALNAD,1950,2303,18,N
,4.COASTAL,3518,3672,4,N
,State,1153,1474,28,E
